repo_id,owner_id,owner_name,type,search_location
30774637,3123741,TheFinestArtist,User,korea
84812790,3190564,GwonHyeok,User,korea
19526501,3233503,onebone,User,korea
46406740,3233039,lovedise,User,korea
15601058,3325181,jongha,User,korea
92382681,3340388,sanghoon,User,korea
12374977,3590986,soleaf,User,korea
57364316,3623695,kciter,User,korea
80011155,3623695,kciter,User,korea
57495614,3623695,kciter,User,korea
57008654,3623695,kciter,User,korea
44174933,3623695,kciter,User,korea
49242359,3623695,kciter,User,korea
39574483,3623695,kciter,User,korea
43906082,3623695,kciter,User,korea
30759499,3648408,vozlt,User,korea
82876313,3648408,vozlt,User,korea
38230413,3839771,milooy,User,korea
19648633,3838662,kmshack,User,korea
43732265,3838662,kmshack,User,korea
9838031,3838662,kmshack,User,korea
54688669,3875235,Taeung,User,korea
10541928,4043594,goody80,User,korea
37639531,4043594,goody80,User,korea
13273751,4184277,MeasureChina,Organization,korea
27949451,4414981,pungrue26,User,korea
48925105,4435445,simnalamburt,User,korea
53213206,4497690,inkyfox,User,korea
48737613,4559516,KoMinkyu,User,korea
95279435,4556549,andabi,User,korea
49729970,4777605,KimDaeWook,User,korea
62559447,4951893,bethesirius,User,korea
16044422,5094875,junku901,User,korea
15970764,5094875,junku901,User,korea
51804236,5143408,smilefam,Organization,korea
51805268,5143408,smilefam,Organization,korea
8156227,5287484,southkorea,Organization,korea
97375434,5376577,KimDarren,User,korea
13236285,5418049,zeliard,User,korea
17130835,5418049,zeliard,User,korea
31517511,5418049,zeliard,User,korea
30801678,5622661,utilForever,User,korea
52657926,5637280,philoskim,User,korea
81933178,5671786,devjin0617,User,korea
68825921,5811413,Jongchan,User,korea
29288606,5846518,origoni,User,korea
58723441,5905027,garion9013,User,korea
88967109,6110163,jegumhon,User,korea
19880864,6136165,remotty,Organization,korea
15769534,6169068,godstale,User,korea
22807455,6169068,godstale,User,korea
95863499,6178510,mingrammer,User,korea
75397271,6178510,mingrammer,User,korea
85959870,6178510,mingrammer,User,korea
102413181,6178510,mingrammer,User,korea
15205558,6188752,xpush,Organization,korea
36265972,6203015,mugku,User,korea
48609158,6203015,mugku,User,korea
47490567,6203015,mugku,User,korea
48674498,6203015,mugku,User,korea
38334762,6242157,chaeplin,User,korea
6564048,6291571,GDG-Korea,Organization,korea
29865279,6291571,GDG-Korea,Organization,korea
19527021,6296785,Rinirihiriro,User,korea
41398721,6322731,muabe,User,korea
81450548,6335975,younatics,User,korea
82458708,6335975,younatics,User,korea
88394399,6335975,younatics,User,korea
90272891,6335975,younatics,User,korea
84613303,6335975,younatics,User,korea
99489471,6335975,younatics,User,korea
101712011,6335975,younatics,User,korea
99474601,6335975,younatics,User,korea
102488440,6335975,younatics,User,korea
67048120,6455972,lsm1987,User,korea
92802203,6487834,JayParks,User,korea
65090756,6580407,yeun,User,korea
25459400,6589568,naver,Organization,korea
46257023,6589568,naver,Organization,korea
4709330,6589568,naver,Organization,korea
5490703,6589568,naver,Organization,korea
17432029,6589568,naver,Organization,korea
34785156,6589568,naver,Organization,korea
35602428,6589568,naver,Organization,korea
24178401,6589568,naver,Organization,korea
46768645,6589568,naver,Organization,korea
85187349,6589568,naver,Organization,korea
16902695,6589568,naver,Organization,korea
75152972,6589568,naver,Organization,korea
42667273,6589568,naver,Organization,korea
43538783,6589568,naver,Organization,korea
23489115,6590527,alexpark07,User,korea
18427917,6647742,hoonmin,User,korea
